"time","error_m1","error_m2","error_m3","error_m4","external_err"
1,0,0.00411500633888252,0.0123402459420629,0.109594170228005,0
2,1.07570589994503,0.118928108178831,0.876015873627421,0.1983992611681,0
3,1.87215971000021,0.206326251382924,1.62839528188831,0.270687731898606,0
4,2.51781670646359,0.279093141031828,2.22671639668016,0.333642267377068,0
5,3.0774847413518,0.343301288122425,2.85059844300111,0.396809937358206,0
6,3.63597597320281,0.407941797094103,3.36184061226867,0.462588170481121,0
7,4.21357698396644,0.474872809754911,4.00339294779633,0.533427375130325,0
8,4.83047665843494,0.546084581500099,4.64758808132216,0.603225353321333,0
9,5.43261512878062,0.615321300029708,5.09237391832483,0.662101894289892,0
10,5.93532435826692,0.673134041465213,5.61495724403137,0.718284514107047,0
11,6.41024574479463,0.728114778967182,6.13294239007192,0.770958276631671,0
12,6.85085673126215,0.77980133339545,6.65268367013065,0.826818594615329,0
13,7.31277256441941,0.835080844007184,7.18475124792587,0.8843383329449,0
14,7.78256307653129,0.892663107546526,7.46985850838043,0.93396920592349,0
15,8.18297655044015,0.942924822856276,7.84449545083557,0.977053124227547,0
16,8.52647294096917,0.986965348095192,8.19574931171052,1.01786895334674,0
17,8.84821682552018,1.0289064245478,8.45036773856998,1.05903937961881,0
18,9.16881210899107,1.07121683912137,8.87258360306607,1.107689154325,0
19,9.54244247973123,1.12086715914399,9.27635449707002,1.16066978405417,0
20,9.94306746163323,1.17417324134045,9.638627105928,1.20594761190282,0
21,10.2804497852754,1.21883459552193,10.0597190189927,1.25251149500808,0
22,10.621137877513,1.26344562615896,10.342801160765,1.29205677064578,0
23,10.907021095296,1.30030697029048,10.6295577079944,1.32160271769061,0
24,11.1176290006845,1.32684945690743,10.7635108615932,1.33335658523095,0
25,11.201216425383,1.33670914454994,10.6777426844401,1.32777908741141,0
26,11.1620630708677,1.33073005106015,10.6685819680358,1.31806300165976,0
27,11.0933406941798,1.32098764719194,10.5646417515839,1.30806810209223,0
28,11.0223625299468,1.31099227330004,10.4708633720158,1.29806810209223,0
29,10.9510724779519,1.30099227330004,10.4485678214262,1.28806810209223,0
