"time","error_m1","error_m2","error_m3","error_m4","external_err"
1,0,1.69332771690433e-05,0.00254541567320701,0.0120129489710614,0
2,1.15730985119405,0.0141458681372299,0.78123939908277,0.0395433226821991,0
3,3.51949904089915,0.0427499890019245,2.67640962951769,0.0735544099492277,0
4,6.36185019527597,0.07818273611693,4.98176817768305,0.111579896408984,0
5,9.49158421678477,0.118129086511292,8.14583896710753,0.157720528109961,0
6,13.2407164738041,0.166689066683446,11.3361788676028,0.214458756028584,0
7,17.790322111112,0.225986024207216,16.0785778066571,0.285234486169631,0
8,23.3854998430348,0.298898506778734,21.6557014501943,0.364395069777696,0
9,29.5513490034293,0.379123750219835,25.9789733121145,0.438901177226015,0
10,35.2659369896365,0.453613913744522,31.5602878052698,0.516458823647715,0
11,41.1286406899053,0.530658381907072,37.6601969069595,0.594979027877572,0
12,46.976158920405,0.608675385441257,44.3156283096203,0.684468609005682,0
13,53.5336481708564,0.698189782795333,51.6864864740526,0.782989545133337,0
14,60.630189306807,0.797790973317455,55.8576440057567,0.873094548474391,0
15,67.0124663953403,0.88992560150521,61.5821422534187,0.955338227004829,0
16,72.745191500193,0.974834817297811,67.2158677105241,1.03670498056158,0
17,78.3308700514554,1.05932611949441,71.4582196217372,1.12234014757284,0
18,84.1136963838381,1.14831435172912,78.7818743689289,1.22805216771971,0
19,91.1210634549946,1.25744949536158,86.1315268943687,1.34840251156991,0
20,98.9351115963204,1.37992877291737,92.9621765061976,1.45528329766588,0
21,105.740874274836,1.48649137180967,101.277523035262,1.57008685642963,0
22,112.877592686057,1.59748851353426,107.024111764938,1.67019568786872,0
23,119.003698745767,1.69148829351172,113.024993707812,1.74719828713724,0
24,123.630080319681,1.76100334885295,115.868154546202,1.77797938776994,0
25,125.474258494103,1.78690697029351,114.015750219493,1.76300495481743,0
26,124.592037410603,1.77084876865569,113.818921180012,1.73729020639037,0
27,123.062214354907,1.74500847101669,111.621110879814,1.71104215971118,0
28,121.492475741575,1.71870074065242,109.639197561786,1.68498079766934,0
29,119.925988417355,1.69258089518642,109.173731272362,1.65911943562749,0
30,118.363708459232,1.66666104972041,107.097276500414,1.63345807358565,0
1,0.202457816015468,0.00270484605529347,0.0842028996946642,0.02133381652192,0.05
2,1.96842027300436,0.0238981994514497,1.34326756669527,0.0532618593015129,0.05
3,4.67326140375969,0.056987629718482,3.54713892508501,0.0914601041626044,0.05
4,7.84118197549681,0.0969089242136204,6.39234812924454,0.134790748747197,0.05
5,11.3834280905753,0.142489791430544,9.8131413033595,0.181831345724919,0.05
6,15.1825987456816,0.191911816916357,12.9728372420856,0.24093214133256,0.05
7,19.8955128859245,0.253405835270473,18.3033502213877,0.319555125225009,0.05
8,26.0727375199565,0.333900404813595,23.7749628268017,0.392615457862467,0.05
9,31.7290464611599,0.407529396282035,28.1112150224962,0.469851772775749,0.05
10,37.6185239144839,0.484506764433868,33.4625649484865,0.545988705182561,0.05
11,43.3390572981171,0.560070606979972,39.8086031924477,0.626637394071633,0.05
12,49.3096671447333,0.640315047925148,46.7274459700292,0.720567606381608,0.05
13,56.150266120296,0.734545199197289,54.0722924195738,0.819386979778736,0.05
14,63.2239595965073,0.834793947936721,58.0230367471301,0.906281122782582,0.05
15,69.3387065927075,0.923955310772778,63.6788433639073,0.988231462626612,0.05
16,75.0149610144713,1.00876313981412,69.3200060237774,1.07014847617054,0.05
17,80.6030075444395,1.09390166896503,73.8100175299473,1.16073038131731,0.05
18,86.6759179323022,1.18790681399469,81.4598703762516,1.27271263487997,0.05
19,94.044005959309,1.30310323198222,88.9235346814422,1.39358324174085,0.05
20,101.833071988105,1.42543316434647,95.6296502644612,1.49824016287391,0.05
21,108.433033883323,1.52875944020496,104.038198031163,1.61497513225063,0.05
22,115.639816283937,1.64066180505721,109.29405017535,1.70647418575809,0.05
23,121.195945056945,1.72551349816191,114.747660422536,1.77349822624772,0.05
24,125.199781330083,1.78518996621374,116.400885837755,1.78599758499956,0.05
25,125.952325567361,1.79422931959832,114.067209831443,1.7637377717404,0.05
26,124.635825863331,1.77151576209623,113.811612453712,1.73730352175303,0.05
27,123.063013784464,1.74502058611842,111.546005327874,1.71104215971118,0.05
28,121.492475741575,1.71870074065242,109.649606291512,1.68498079766934,0.05
29,119.925988417355,1.69258089518642,109.213508817248,1.65911943562749,0.05
30,118.363708459232,1.66666104972041,107.095265394954,1.63345807358565,0.05
1,0.809325224959825,0.0100389377615272,0.407457220418272,0.0328931154459205,0.1
